,base_number,ligand_number,aryl_halide_number,additive_number,yield
165,0,0,1,7,16.96531636
166,0,0,2,7,34.37725511
167,0,0,3,7,43.5835106
168,0,0,4,7,0.828206999
169,0,0,5,7,13.33632103
170,0,0,6,7,26.96354436
171,0,0,7,7,4.206951598
172,0,0,8,7,39.80435813
173,0,0,9,7,66.76359549
174,0,0,10,7,38.14302674
175,0,0,11,7,56.51667394
176,0,0,12,7,67.97172842
177,0,0,13,7,13.29271578
178,0,0,14,7,32.5166032
179,0,0,15,7,47.33481015
180,2,1,1,1,43.24687429
181,2,1,2,1,47.07201706
182,2,1,3,1,46.67923287
183,2,1,4,1,1.477833017
184,2,1,5,1,52.01663098
185,2,1,6,1,49.5332891
186,2,1,7,1,15.23801636
187,2,1,8,1,76.0080606
188,2,1,9,1,63.58868193
189,2,1,10,1,56.11678026
190,2,1,11,1,74.02586359
191,2,1,12,1,72.10640605
192,2,1,13,1,60.16915393
193,2,1,14,1,76.23980932
194,2,1,15,1,73.24593194
195,1,1,1,1,33.75312128
196,1,1,2,1,43.98434681
197,1,1,3,1,45.01345928
198,1,1,4,1,1.141182686
199,1,1,5,1,45.26243148
200,1,1,6,1,48.87745577
201,1,1,7,1,5.1621109
202,1,1,8,1,70.20039276
203,1,1,9,1,76.21778678
204,1,1,10,1,68.57268466
205,1,1,11,1,82.68657767
206,1,1,12,1,81.20984491
207,1,1,13,1,45.5729521
208,1,1,14,1,80.41522119
209,1,1,15,1,87.27732283
210,0,1,1,1,46.27953078
211,0,1,2,1,50.46562134
212,0,1,3,1,51.209226
213,0,1,4,1,1.507859973
214,0,1,5,1,54.82010788
215,0,1,6,1,55.70113322
216,0,1,7,1,5.937925103
217,0,1,8,1,83.76110277
218,0,1,9,1,78.83510746
219,0,1,10,1,80.94739685
220,0,1,11,1,94.39775173
221,0,1,12,1,95.42335131
222,0,1,13,1,65.0220022
223,0,1,14,1,98.03589777
224,0,1,15,1,99.68653196
225,2,1,1,3,15.4176361
226,2,1,2,3,18.97417112
227,2,1,3,3,16.81589184
228,2,1,4,3,2.663355036
229,2,1,5,3,16.04854773
230,2,1,6,3,21.9766332
231,2,1,7,3,7.641917878
232,2,1,8,3,28.39231834
233,2,1,9,3,26.6748995
234,2,1,10,3,29.97543001
235,2,1,11,3,36.30636065
236,2,1,12,3,36.58798902
237,2,1,13,3,10.54082024
238,2,1,14,3,26.25688388
239,2,1,15,3,28.58964812
240,1,1,1,3,16.88486051
241,1,1,2,3,41.29698409
242,1,1,3,3,43.73298112
243,1,1,4,3,0.655700656
244,1,1,5,3,33.62905648
245,1,1,6,3,41.48980841
246,1,1,7,3,2.599454304
247,1,1,8,3,66.02401389
248,1,1,9,3,72.39052533
249,1,1,10,3,68.84655406
250,1,1,11,3,82.1847816
251,1,1,12,3,80.58917239
252,1,1,13,3,15.19452071
253,1,1,14,3,83.87445444
254,1,1,15,3,86.003404
255,0,1,1,3,30.01215681
256,0,1,2,3,51.39708789
257,0,1,3,3,50.13634297
258,0,1,4,3,2.942173839
259,0,1,5,3,34.96324083
260,0,1,6,3,51.01008234
261,0,1,7,3,15.31942872
262,0,1,8,3,81.56943098
263,0,1,9,3,77.57371189
264,0,1,10,3,86.68959994
265,0,1,11,3,92.91423383
266,0,1,12,3,97.56849953
267,0,1,13,3,35.55504656
268,0,1,14,3,98.73132029
269,0,1,15,3,98.28722602
270,2,1,1,5,5.980979595
271,2,1,2,5,50.58289676
272,2,1,3,5,45.08048043
273,2,1,4,5,0
274,2,1,5,5,42.11946098
275,2,1,6,5,49.11143206
276,2,1,7,5,0.705225291
277,2,1,8,5,70.86219062
278,2,1,9,5,66.44951759
279,2,1,10,5,65.93988128
280,2,1,11,5,66.07082051
281,2,1,12,5,66.20793624
282,2,1,13,5,6.110691586
283,2,1,14,5,67.81850094
284,2,1,15,5,72.63064909
285,1,1,1,5,7.837919121
286,1,1,2,5,46.74711139
287,1,1,3,5,46.25838016
288,1,1,4,5,0
289,1,1,5,5,37.03037628
290,1,1,6,5,43.69560153
291,1,1,7,5,0.595872872
292,1,1,8,5,70.54955286
293,1,1,9,5,80.90409924
294,1,1,10,5,70.2055639
295,1,1,11,5,83.08846167
296,1,1,12,5,85.14465222
297,1,1,13,5,3.149733367
298,1,1,14,5,78.08461533
299,1,1,15,5,82.13737482
300,0,1,1,5,7.782359234
301,0,1,2,5,53.59986981
302,0,1,3,5,51.75674767
303,0,1,4,5,0
304,0,1,5,5,49.61438009
305,0,1,6,5,53.675534
306,0,1,7,5,0.646778821
307,0,1,8,5,86.59757822
308,0,1,9,5,84.89551287
309,0,1,10,5,91.39064225
310,0,1,11,5,97.29293259
311,0,1,12,5,99.61910732
312,0,1,13,5,4.166287009
313,0,1,14,5,92.57247896
314,0,1,15,5,94.69105416
315,2,1,1,7,45.04873884
316,2,1,2,7,45.78100103
317,2,1,3,7,44.65371267
318,2,1,4,7,0.924541619
319,2,1,5,7,44.55887608
320,2,1,6,7,43.35721014
321,2,1,7,7,3.420166341
322,2,1,8,7,72.84831426
323,2,1,9,7,65.31185167
324,2,1,10,7,56.83280355
325,2,1,11,7,76.33726193
326,2,1,12,7,73.22050209
327,2,1,13,7,36.47724246
328,2,1,14,7,68.55764886
329,2,1,15,7,69.0890435
330,1,1,1,7,31.88044847
331,1,1,2,7,44.81754321
332,1,1,3,7,46.6498955
333,1,1,4,7,0.668792684
334,1,1,5,7,39.52986412
335,1,1,6,7,43.87183311
336,1,1,7,7,2.74612364
337,1,1,8,7,72.63770939
338,1,1,9,7,82.32885806
339,1,1,10,7,73.64322424
340,1,1,11,7,87.90201497
341,1,1,12,7,86.21979782
342,1,1,13,7,34.20844443
343,1,1,14,7,77.33294235
344,1,1,15,7,80.60055876
345,0,1,1,7,42.28229272
346,0,1,2,7,50.28665363
347,0,1,3,7,49.58296909
348,0,1,4,7,1.18600639
349,0,1,5,7,48.46327508
350,0,1,6,7,49.9274003
351,0,1,7,7,4.582095156
352,0,1,8,7,78.80108905
353,0,1,9,7,79.44483195
354,0,1,10,7,84.85609846
355,0,1,11,7,93.31083413
356,0,1,12,7,93.87454124
357,0,1,13,7,44.02752342
358,0,1,14,7,89.48065113
359,0,1,15,7,91.48509414
360,2,2,1,1,11.26422659
361,2,2,2,1,37.48204887
362,2,2,3,1,41.44106124
363,2,2,4,1,0
364,2,2,5,1,38.30431575
365,2,2,6,1,53.10400856
366,2,2,7,1,3.075984359
367,2,2,8,1,77.3614474
368,2,2,9,1,66.8623452
369,2,2,10,1,65.32713775
370,2,2,11,1,80.44006159
371,2,2,12,1,73.90288444
372,2,2,13,1,10.6093201
373,2,2,14,1,47.24014126
374,2,2,15,1,59.52653189
375,1,2,1,1,34.71645259
376,1,2,2,1,43.57302345
377,1,2,3,1,48.32439551
378,1,2,4,1,0.607063773
379,1,2,5,1,28.83783854
380,1,2,6,1,37.43255163
381,1,2,7,1,2.85991864
382,1,2,8,1,70.01345936
383,1,2,9,1,78.088776
384,1,2,10,1,70.19867654
385,1,2,11,1,81.98080261
386,1,2,12,1,85.25720997
387,1,2,13,1,39.12894222
388,1,2,14,1,76.74229373
389,1,2,15,1,84.97992801
390,0,2,1,1,33.61043599
391,0,2,2,1,49.6136763
392,0,2,3,1,47.45149232
393,0,2,4,1,0.928544459
394,0,2,5,1,31.04337853
395,0,2,6,1,43.13871983
396,0,2,7,1,0
397,0,2,8,1,81.91726557
398,0,2,9,1,84.29748871
399,0,2,10,1,86.21497352
400,0,2,11,1,92.93093214
401,0,2,12,1,98.03384571
402,0,2,13,1,43.93331318
403,0,2,14,1,94.93580173
404,0,2,15,1,96.14798667
405,2,2,1,3,7.372693174
406,2,2,2,3,9.714563227
407,2,2,3,3,9.546870881
408,2,2,4,3,1.022402294
409,2,2,5,3,12.592787
410,2,2,6,3,14.01241706
411,2,2,7,3,4.337310253
412,2,2,8,3,19.47378974
413,2,2,9,3,23.2960789
414,2,2,10,3,24.90011385
415,2,2,11,3,28.47849533
416,2,2,12,3,33.33065232
417,2,2,13,3,6.753074014
418,2,2,14,3,15.06136862
419,2,2,15,3,15.12671706
420,1,2,1,3,3.88663609
421,1,2,2,3,25.83457198
422,1,2,3,3,44.5879911
423,1,2,4,3,0
424,1,2,5,3,15.16664871
425,1,2,6,3,40.37403082
426,1,2,7,3,0
427,1,2,8,3,27.79577337
428,1,2,9,3,72.31351298
429,1,2,10,3,32.00160024
430,1,2,11,3,51.8134607
431,1,2,12,3,83.36436834
432,1,2,13,3,2.641901391
433,1,2,14,3,57.97752811
434,1,2,15,3,80.28994263
435,0,2,1,3,9.564949769
436,0,2,2,3,37.21381762
437,0,2,3,3,47.09764929
438,0,2,4,3,1.100030526
439,0,2,5,3,35.70389569
440,0,2,6,3,54.89240735
441,0,2,7,3,0
442,0,2,8,3,57.45048731
443,0,2,9,3,77.02732986
444,0,2,10,3,69.39855223
445,0,2,11,3,85.4419715
446,0,2,12,3,92.00324978
447,0,2,13,3,21.86178566
448,0,2,14,3,83.65433196
449,0,2,15,3,92.95670274
450,2,2,1,5,1.297818598
451,2,2,2,5,28.35051675
452,2,2,3,5,40.1812432
453,2,2,4,5,0
454,2,2,5,5,40.45135336
455,2,2,6,5,42.27311559
456,2,2,7,5,0.910655456
457,2,2,8,5,62.16368477
458,2,2,9,5,66.88608561
459,2,2,10,5,76.83418769
460,2,2,11,5,91.6524383
461,2,2,12,5,66.37274183
462,2,2,13,5,2.534585496
463,2,2,14,5,47.17441756
464,2,2,15,5,52.43589363
465,1,2,1,5,3.542495517
466,1,2,2,5,39.19686382
467,1,2,3,5,45.87563784
468,1,2,4,5,0
469,1,2,5,5,24.02819715
470,1,2,6,5,39.3913488
471,1,2,7,5,0
472,1,2,8,5,50.04747607
473,1,2,9,5,74.62438876
474,1,2,10,5,54.58472012
475,1,2,11,5,74.81544975
476,1,2,12,5,84.20189779
477,1,2,13,5,2.234092607
478,1,2,14,5,71.60789091
479,1,2,15,5,72.77189285
480,0,2,1,5,4.275083316
481,0,2,2,5,40.44190447
482,0,2,3,5,46.6599306
483,0,2,4,5,0
484,0,2,5,5,46.64994849
485,0,2,6,5,45.97105208
486,0,2,7,5,0
487,0,2,8,5,72.38342011
488,0,2,9,5,82.71053034
489,0,2,10,5,77.8707536
490,0,2,11,5,96.59121826
491,0,2,12,5,97.94800557
492,0,2,13,5,3.498335753
493,0,2,14,5,89.32288292
494,0,2,15,5,89.21674959
495,2,2,1,7,9.910073167
496,2,2,2,7,33.09515946
497,2,2,3,7,39.91592357
498,2,2,4,7,0.297246729
499,2,2,5,7,43.42467948
500,2,2,6,7,45.27500965
501,2,2,7,7,0.858974836
502,2,2,8,7,68.84924903
503,2,2,9,7,64.60847653
504,2,2,10,7,63.8547365
505,2,2,11,7,76.33612431
506,2,2,12,7,73.13965753
507,2,2,13,7,4.497312079
508,2,2,14,7,40.87667176
509,2,2,15,7,40.31664678
510,1,2,1,7,24.27358667
511,1,2,2,7,42.64405348
512,1,2,3,7,47.5989822
513,1,2,4,7,0.345789289
514,1,2,5,7,40.97949244
515,1,2,6,7,43.26194293
516,1,2,7,7,1.497954505
517,1,2,8,7,68.06627781
518,1,2,9,7,74.75498754
519,1,2,10,7,70.28309787
520,1,2,11,7,80.52782377
521,1,2,12,7,85.26909551
522,1,2,13,7,21.94834142
523,1,2,14,7,72.58738213
524,1,2,15,7,77.03264152
525,0,2,1,7,23.09132333
526,0,2,2,7,47.555818
527,0,2,3,7,46.76206263
528,0,2,4,7,0.605197064
529,0,2,5,7,47.14534203
530,0,2,6,7,45.98211557
531,0,2,7,7,0
532,0,2,8,7,79.73976585
533,0,2,9,7,80.78664078
534,0,2,10,7,84.69021766
535,0,2,11,7,91.05627032
536,0,2,12,7,98.17713445
537,0,2,13,7,23.84150703
538,0,2,14,7,86.41285544
539,0,2,15,7,87.55418753
540,2,3,1,1,5.328990286
541,2,3,2,1,35.45025708
542,2,3,3,1,41.3324865
543,2,3,4,1,0.843582648
544,2,3,5,1,51.8998046
545,2,3,6,1,57.85145251
546,2,3,7,1,5.746329101
547,2,3,8,1,79.76430493
548,2,3,9,1,71.75951053
549,2,3,10,1,66.51488049
550,2,3,11,1,73.25828596
551,2,3,12,1,76.19293385
552,2,3,13,1,17.91828542
553,2,3,14,1,57.18359642
554,2,3,15,1,68.68894553
555,1,3,1,1,25.1420837
556,1,3,2,1,40.99109313
557,1,3,3,1,45.96047749
558,1,3,4,1,1.429258981
559,1,3,5,1,39.81522
560,1,3,6,1,43.94267867
561,1,3,7,1,3.976960117
562,1,3,8,1,67.27749777
563,1,3,9,1,78.369266
564,1,3,10,1,47.69925782
565,1,3,11,1,57.79971875
566,1,3,12,1,65.34587527
567,1,3,13,1,38.45991818
568,1,3,14,1,78.01722823
569,1,3,15,1,79.09053669
570,0,3,1,1,30.8246927
571,0,3,2,1,53.49467932
572,0,3,3,1,53.92524684
573,0,3,4,1,2.85091101
574,0,3,5,1,53.40370338
575,0,3,6,1,54.61432374
576,0,3,7,1,9.491590168
577,0,3,8,1,85.17057946
578,0,3,9,1,81.4856934
579,0,3,10,1,85.59541842
580,0,3,11,1,90.35242497
581,0,3,12,1,88.9275364
582,0,3,13,1,50.81603251
583,0,3,14,1,93.50991268
584,0,3,15,1,96.92264627
585,2,3,1,3,6.575127297
586,2,3,2,3,8.742546332
587,2,3,3,3,9.935132826
588,2,3,4,3,1.705289038
589,2,3,5,3,12.29594301
590,2,3,6,3,16.85702349
591,2,3,7,3,3.595206135
592,2,3,8,3,19.90273024
593,2,3,9,3,25.2527032
594,2,3,10,3,16.1585109
595,2,3,11,3,20.64357371
596,2,3,12,3,24.16256349
597,2,3,13,3,7.938107708
598,2,3,14,3,13.6465536
599,2,3,15,3,14.36737015
600,1,3,1,3,3.956885702
601,1,3,2,3,22.516172
602,1,3,3,3,39.74593472
603,1,3,4,3,0
604,1,3,5,3,15.82179421
605,1,3,6,3,40.1396941
606,1,3,7,3,0.57693322
607,1,3,8,3,29.29795514
608,1,3,9,3,73.73993868
609,1,3,10,3,24.60602271
610,1,3,11,3,39.09372544
611,1,3,12,3,65.38933316
612,1,3,13,3,2.344713425
613,1,3,14,3,48.30710262
614,1,3,15,3,72.94185386
615,0,3,1,3,10.00188169
616,0,3,2,3,37.52076416
617,0,3,3,3,52.58811564
618,0,3,4,3,0.862838268
619,0,3,5,3,34.28507945
620,0,3,6,3,53.14523882
621,0,3,7,3,2.173414859
622,0,3,8,3,59.96800012
623,0,3,9,3,80.9780499
624,0,3,10,3,68.0065648
625,0,3,11,3,84.91024962
626,0,3,12,3,95.07020116
627,0,3,13,3,15.22347574
628,0,3,14,3,86.41541039
629,0,3,15,3,92.13068227
630,2,3,1,5,2.038853369
631,2,3,2,5,28.76096277
632,2,3,3,5,44.56045142
633,2,3,4,5,0.380918213
634,2,3,5,5,44.68712072
635,2,3,6,5,52.78848387
636,2,3,7,5,1.112658983
637,2,3,8,5,67.02083729
638,2,3,9,5,72.46627889
639,2,3,10,5,55.08984272
640,2,3,11,5,63.25759385
641,2,3,12,5,66.28326385
642,2,3,13,5,6.141106311
643,2,3,14,5,54.56358173
644,2,3,15,5,63.22469221
645,1,3,1,5,2.256359852
646,1,3,2,5,32.38635793
647,1,3,3,5,44.44197306
648,1,3,4,5,0
649,1,3,5,5,21.71222946
650,1,3,6,5,43.86426544
651,1,3,7,5,0
652,1,3,8,5,39.83155733
653,1,3,9,5,78.71189796
654,1,3,10,5,34.68494953
655,1,3,11,5,51.68395023
656,1,3,12,5,69.94718927
657,1,3,13,5,1.517636561
658,1,3,14,5,65.78374618
659,1,3,15,5,79.37053051
660,0,3,1,5,2.510510682
661,0,3,2,5,36.61548208
662,0,3,3,5,52.67302388
663,0,3,4,5,0
664,0,3,5,5,32.99753143
665,0,3,6,5,57.53990104
666,0,3,7,5,0.544984175
667,0,3,8,5,57.85208433
668,0,3,9,5,85.89473594
669,0,3,10,5,67.67136056
670,0,3,11,5,95.55515456
671,0,3,12,5,99.03446213
672,0,3,13,5,2.310618854
673,0,3,14,5,86.53541708
674,0,3,15,5,94.50096737
675,2,3,1,7,7.7649642
676,2,3,2,7,31.45776364
677,2,3,3,7,39.80414391
678,2,3,4,7,0.230274449
679,2,3,5,7,47.71300168
680,2,3,6,7,54.76985941
681,2,3,7,7,0.737631078
682,2,3,8,7,74.13888356
683,2,3,9,7,71.26504827
684,2,3,10,7,64.02888238
685,2,3,11,7,74.63930208
686,2,3,12,7,76.16070518
687,2,3,13,7,5.908085833
688,2,3,14,7,52.86647451
689,2,3,15,7,56.03413013
690,1,3,1,7,12.72121896
691,1,3,2,7,41.67771463
692,1,3,3,7,43.87448476
693,1,3,4,7,0.316193405
694,1,3,5,7,40.29418927
695,1,3,6,7,45.40015878
696,1,3,7,7,0.778234105
697,1,3,8,7,65.05218409
698,1,3,9,7,78.61961971
699,1,3,10,7,45.30738516
700,1,3,11,7,56.65401799
701,1,3,12,7,68.60611463
702,1,3,13,7,12.48635948
703,1,3,14,7,69.81626316
704,1,3,15,7,75.30179851
705,0,3,1,7,14.49254361
706,0,3,2,7,52.13571621
707,0,3,3,7,48.86581696
708,0,3,4,7,0.364667905
709,0,3,5,7,55.18037009
710,0,3,6,7,55.01223205
711,0,3,7,7,1.087256852
712,0,3,8,7,81.22830675
713,0,3,9,7,80.71099803
714,0,3,10,7,86.20017514
715,0,3,11,7,84.17796028
716,0,3,12,7,95.67591323
717,0,3,13,7,14.50083816
718,0,3,14,7,91.52862329
719,0,3,15,7,92.65898323
720,2,0,1,2,12.6512469
721,2,0,2,2,13.83708642
722,2,0,3,2,15.0343232
723,2,0,4,2,1.856863727
724,2,0,5,2,4.344676685
725,2,0,6,2,5.971176669
726,2,0,7,2,8.323184663
727,2,0,8,2,13.24692026
728,2,0,9,2,15.01178808
729,2,0,10,2,12.98584411
730,2,0,11,2,17.08756486
731,2,0,12,2,19.42152909
732,2,0,13,2,61.68885211
733,2,0,14,2,64.52902546
734,2,0,15,2,64.66756982
735,1,0,1,2,14.26895253
736,1,0,2,2,24.93013825
737,1,0,3,2,38.55067304
738,1,0,4,2,0
739,1,0,5,2,1.224185961
740,1,0,6,2,2.633257106
741,1,0,7,2,1.932595354
742,1,0,8,2,8.432863834
743,1,0,9,2,11.40684881
744,1,0,10,2,16.82928554
745,1,0,11,2,35.53815083
746,1,0,12,2,41.96438983
747,1,0,13,2,2.917168593
748,1,0,14,2,7.768371677
749,1,0,15,2,14.74148388
750,0,0,1,2,21.50977994
751,0,0,2,2,20.96272395
752,0,0,3,2,26.67806508
753,0,0,4,2,0
754,0,0,5,2,3.941726457
755,0,0,6,2,7.774794319
756,0,0,7,2,2.331533569
757,0,0,8,2,15.28777504
758,0,0,9,2,23.43579167
759,0,0,10,2,15.69796379
760,0,0,11,2,27.33482675
761,0,0,12,2,34.44632451
762,0,0,13,2,9.061926079
763,0,0,14,2,20.11332693
764,0,0,15,2,25.93974836
765,2,0,1,4,2.968869757
766,2,0,2,4,2.391870808
767,2,0,3,4,20.86747592
768,2,0,4,4,2.064063489
769,2,0,5,4,11.1309805
770,2,0,6,4,14.36693621
771,2,0,7,4,9.085602443
772,2,0,8,4,51.71538404
773,2,0,9,4,53.23936389
774,2,0,10,4,10.59565991
775,2,0,11,4,12.24156469
776,2,0,12,4,12.7214048
777,2,0,13,4,20.53476821
778,2,0,14,4,16.03639807
779,2,0,15,4,19.29401032
780,1,0,1,4,24.42152468
781,1,0,2,4,35.72058232
782,1,0,3,4,34.68866542
783,1,0,4,4,1.299881507
784,1,0,5,4,17.26980964
785,1,0,6,4,28.37187434
786,1,0,7,4,5.370036774
787,1,0,8,4,37.71186321
788,1,0,9,4,36.02889558
789,1,0,10,4,32.92776022
790,1,0,11,4,59.55262648
791,1,0,12,4,57.6053748
792,1,0,13,4,18.46342998
793,1,0,14,4,36.80966237
794,1,0,15,4,44.33084711
795,0,0,1,4,26.52646529
796,0,0,2,4,40.07198822
797,0,0,3,4,44.04700483
798,0,0,4,4,0.844427684
799,0,0,5,4,10.60791195
800,0,0,6,4,19.44976087
801,0,0,7,4,4.67315366
802,0,0,8,4,33.71090461
803,0,0,9,4,58.95423439
804,0,0,10,4,32.36907857
805,0,0,11,4,58.30938102
806,0,0,12,4,63.62909921
807,0,0,13,4,15.1458408
808,0,0,14,4,31.9937252
809,0,0,15,4,53.36463944
810,2,0,1,6,5.928429551
811,2,0,2,6,9.302544665
812,2,0,3,6,34.88077285
813,2,0,4,6,0.47110416
814,2,0,5,6,28.77482765
815,2,0,6,6,35.21497708
816,2,0,7,6,4.111488109
817,2,0,8,6,64.27233548
818,2,0,9,6,65.69456697
819,2,0,10,6,14.11480355
820,2,0,11,6,17.56349703
821,2,0,12,6,15.1215994
822,2,0,13,6,12.74466628
823,2,0,14,6,14.21418921
824,2,0,15,6,16.84841979
825,1,0,1,6,19.58685815
826,1,0,2,6,43.74297776
827,1,0,3,6,41.13226409
828,1,0,4,6,0.43718104
829,1,0,5,6,23.41191123
830,1,0,6,6,34.22871308
831,1,0,7,6,2.005732083
832,1,0,8,6,50.97511306
833,1,0,9,6,50.54514481
834,1,0,10,6,39.19022489
835,1,0,11,6,59.13712916
836,1,0,12,6,63.46127974
837,1,0,13,6,14.56258268
838,1,0,14,6,42.70687587
839,1,0,15,6,51.1783537
840,0,0,1,6,20.79893886
841,0,0,2,6,44.03844861
842,0,0,3,6,47.42870408
843,0,0,4,6,0.389738186
844,0,0,5,6,14.82994008
845,0,0,6,6,27.38026406
846,0,0,7,6,1.922791563
847,0,0,8,6,42.32124218
848,0,0,9,6,66.26745697
849,0,0,10,6,38.26811211
850,0,0,11,6,65.27849508
851,0,0,12,6,69.51698512
852,0,0,13,6,11.65114169
853,0,0,14,6,35.81675951
854,0,0,15,6,49.09682213
855,2,1,1,2,14.56538038
856,2,1,2,2,18.74350865
857,2,1,3,2,19.60839775
858,2,1,4,2,2.060581853
859,2,1,5,2,16.39030586
860,2,1,6,2,19.65840226
861,2,1,7,2,6.853480142
862,2,1,8,2,26.75645727
863,2,1,9,2,27.04861196
864,2,1,10,2,31.29909936
865,2,1,11,2,35.2030282
866,2,1,12,2,40.08669181
867,2,1,13,2,68.76495224
868,2,1,14,2,74.00970333
869,2,1,15,2,70.58038327
870,1,1,1,2,12.56300254
871,1,1,2,2,47.02427089
872,1,1,3,2,48.56121582
873,1,1,4,2,0.529819216
874,1,1,5,2,47.2768797
875,1,1,6,2,55.19349187
876,1,1,8,2,73.2728017
