base_number,base_smiles,ligand_number,ligand_smiles,aryl_halide_number,aryl_halide_smiles,additive_number,additive,additive_smiles,product_smiles,yield
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,8,CCc1ccc(Br)cc1,1,none,none,CCc1ccc(Nc2ccc(C)cc2)cc1,34.70564689
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,9,CCc1ccc(I)cc1,1,none,none,CCc1ccc(Nc2ccc(C)cc2)cc1,33.31429413
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,10,Clc1ccccn1,1,none,none,Cc1ccc(Nc2ccccn2)cc1,28.19737429
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,11,Brc1ccccn1,1,none,none,Cc1ccc(Nc2ccccn2)cc1,51.62190853
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,12,Ic1ccccn1,1,none,none,Cc1ccc(Nc2ccccn2)cc1,55.27637145
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,13,Clc1cccnc1,1,none,none,Cc1ccc(Nc2cccnc2)cc1,14.11609154
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,14,Brc1cccnc1,1,none,none,Cc1ccc(Nc2cccnc2)cc1,28.41522329
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,15,Ic1cccnc1,1,none,none,Cc1ccc(Nc2cccnc2)cc1,41.52339687
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,1,FC(F)(F)c1ccc(Cl)cc1,1,none,none,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,15.77189806
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,2,FC(F)(F)c1ccc(Br)cc1,1,none,none,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,32.02769538
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,3,FC(F)(F)c1ccc(I)cc1,1,none,none,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,43.17090647
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,4,COc1ccc(Cl)cc1,1,none,none,COc1ccc(Nc2ccc(C)cc2)cc1,1.534950141
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,5,COc1ccc(Br)cc1,1,none,none,COc1ccc(Nc2ccc(C)cc2)cc1,11.11065538
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,6,COc1ccc(I)cc1,1,none,none,COc1ccc(Nc2ccc(C)cc2)cc1,27.55018583
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,7,CCc1ccc(Cl)cc1,1,none,none,CCc1ccc(Nc2ccc(C)cc2)cc1,7.170837693
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,8,CCc1ccc(Br)cc1,1,none,none,CCc1ccc(Nc2ccc(C)cc2)cc1,30.19903029
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,9,CCc1ccc(I)cc1,1,none,none,CCc1ccc(Nc2ccc(C)cc2)cc1,66.74950767
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,10,Clc1ccccn1,1,none,none,Cc1ccc(Nc2ccccn2)cc1,29.58712422
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,11,Brc1ccccn1,1,none,none,Cc1ccc(Nc2ccccn2)cc1,54.89834317
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,12,Ic1ccccn1,1,none,none,Cc1ccc(Nc2ccccn2)cc1,67.3026444
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,13,Clc1cccnc1,1,none,none,Cc1ccc(Nc2cccnc2)cc1,13.51744578
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,14,Brc1cccnc1,1,none,none,Cc1ccc(Nc2cccnc2)cc1,33.44897797
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,15,Ic1cccnc1,1,none,none,Cc1ccc(Nc2cccnc2)cc1,50.16438472
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,1,FC(F)(F)c1ccc(Cl)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,10.65781182
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,2,FC(F)(F)c1ccc(Br)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,14.7478961
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,3,FC(F)(F)c1ccc(I)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,18.27868619
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,4,COc1ccc(Cl)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,2.475057616
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,5,COc1ccc(Br)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,6.119058475
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,6,COc1ccc(I)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,5.449924218
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,7,CCc1ccc(Cl)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,7.802080337
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,8,CCc1ccc(Br)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,14.23417841
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,9,CCc1ccc(I)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,15.41389344
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,10,Clc1ccccn1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,9.46569581
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,11,Brc1ccccn1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,15.23875818
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,12,Ic1ccccn1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,19.59428889
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,13,Clc1cccnc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2cccnc2)cc1,7.787908452
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,14,Brc1cccnc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2cccnc2)cc1,9.677591971
2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,15,Ic1cccnc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2cccnc2)cc1,13.17521743
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,1,FC(F)(F)c1ccc(Cl)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,14.01864146
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,2,FC(F)(F)c1ccc(Br)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,30.5912617
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,3,FC(F)(F)c1ccc(I)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,38.15573638
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,4,COc1ccc(Cl)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,0.456472494
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,5,COc1ccc(Br)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,3.867385769
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,6,COc1ccc(I)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,7.024622197
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,7,CCc1ccc(Cl)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,2.84616447
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,8,CCc1ccc(Br)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,18.8690087
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,9,CCc1ccc(I)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,25.0736586
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,10,Clc1ccccn1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,21.66658644
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,11,Brc1ccccn1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,48.48749388
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,12,Ic1ccccn1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,58.61075678
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,13,Clc1cccnc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2cccnc2)cc1,4.169292721
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,14,Brc1cccnc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2cccnc2)cc1,11.38334579
1,CN(C)/C(N(C)C)=N\C(C)(C)C,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,15,Ic1cccnc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2cccnc2)cc1,24.41818234
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,1,FC(F)(F)c1ccc(Cl)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,14.96739578
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,2,FC(F)(F)c1ccc(Br)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,30.28625472
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,3,FC(F)(F)c1ccc(I)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,39.57783871
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,4,COc1ccc(Cl)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,0.339837285
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,5,COc1ccc(Br)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,3.12306153
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,6,COc1ccc(I)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,5.140109821
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,7,CCc1ccc(Cl)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,3.920306162
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,8,CCc1ccc(Br)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,15.39753007
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,9,CCc1ccc(I)cc1,3,5-phenylisoxazole,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,22.45064906
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,10,Clc1ccccn1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,23.68617418
0,CN1CCCN2CCCN=C12,0,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,11,Brc1ccccn1,3,5-phenylisoxazole,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,42.69485888
